"id","movie_name","actors","directors","duration","genre"
1910,"Punisher: War Zone","Ray Stevenson, Dominic West, Julie Benz","Lexi Alexander","103 min ","Action, Crime, Drama"
1914,"Outlander","Jim Caviezel, Sophia Myles, Ron Perlman","Howard McCain","115 min ","Action, Adventure, Sci-Fi"
1919,"Madagascar: Escape 2 Africa","Ben Stiller, Chris Rock, David Schwimmer","Eric Darnell","89 min ","Animation, Action, Adventure"
1923,"Jumper","Hayden Christensen, Samuel L. Jackson, Jamie Bell","Doug Liman","88 min ","Action, Adventure, Sci-Fi"
1932,"Body of Lies","Leonardo DiCaprio, Russell Crowe, Mark Strong","Ridley Scott","128 min ","Action, Drama, Thriller"
1934,"The Baader Meinhof Complex","Martina Gedeck, Moritz Bleibtreu, Johanna Wokalek","Uli Edel","150 min ","Action, Biography, Crime"
1942,"The Incredible Hulk","Edward Norton, Liv Tyler, Tim Roth","Louis Leterrier","112 min ","Action, Adventure, Sci-Fi"
1943,"Speed Racer","Emile Hirsch, Matthew Fox, Christina Ricci","Andy Wachowski","135 min ","Action, Family, Sport"
1948,"Quantum of Solace","Daniel Craig, Olga Kurylenko, Mathieu Amalric","Marc Forster","106 min ","Action, Adventure"
1949,"The Spirit","Gabriel Macht, Samuel L. Jackson, Scarlett Johansson","Frank Miller","103 min ","Action, Crime, Fantasy"
1952,"The Mummy: Tomb of the Dragon Emperor","Brendan Fraser, Jet Li, Maria Bello","Rob Cohen","112 min ","Action, Adventure, Fantasy"
1959,"Pineapple Express","Seth Rogen, James Franco, Gary Cole","David Gordon Green","111 min ","Action, Comedy, Crime"
1962,"Taken","Liam Neeson, Maggie Grace, Famke Janssen","Pierre Morel","93 min ","Action, Thriller"
1964,"Tropic Thunder","Ben Stiller, Jack Black, Robert Downey Jr.","Ben Stiller","107 min ","Action, Comedy"
1967,"You Don't Mess with the Zohan","Adam Sandler, John Turturro, Emmanuelle Chriqui","Dennis Dugan","113 min ","Action, Comedy"
1977,"Traitor","Don Cheadle, Guy Pearce, Archie Panjabi","Jeffrey Nachmanoff","114 min ","Action, Crime, Drama"
1991,"RocknRolla","Gerard Butler, Tom Wilkinson, Idris Elba","Guy Ritchie","114 min ","Action, Crime, Thriller"
1992,"Defiance","Daniel Craig, Liev Schreiber, Jamie Bell","Edward Zwick","137 min ","Action, Drama, History"
2000,"Miracle at St. Anna","Derek Luke, Michael Ealy, Laz Alonso","Spike Lee","160 min ","Action, Crime, Drama"
2003,"Eagle Eye","Shia LaBeouf, Michelle Monaghan, Rosario Dawson","D.J. Caruso","118 min ","Action, Mystery, Thriller"
2022,"Transporter 3","Jason Statham, Robert Knepper, Natalya Rudakova","Olivier Megaton","104 min ","Action, Adventure, Crime"
2041,"Star Wars: The Clone Wars","Matt Lanter, Nika Futterman, Tom Kane","Dave Filoni","98 min ","Animation, Action, Adventure"
2053,"Captive","Vyacheslav Krikunov, Pyotr Logachev, Irakli Mskhalaia","Aleksey Uchitel","80 min ","Action, Drama"
2070,"The Bridge","Derek Mio, Johnny Giordano, Trevor Murphy","Sheldon Schwartz","45 min ","Action, Drama, History"
2083,"Rush Hour 3","Jackie Chan, Chris Tucker, Max von Sydow","Brett Ratner","91 min ","Action, Comedy, Crime"
2087,"Live Free or Die Hard","Bruce Willis, Justin Long, Timothy Olyphant","Len Wiseman","128 min ","Action, Adventure, Thriller"
2091,"Spider-Man 3","Tobey Maguire, Kirsten Dunst, Topher Grace","Sam Raimi","139 min ","Action, Adventure"
2098,"Beowulf","Ray Winstone, Crispin Glover, Angelina Jolie","Robert Zemeckis","115 min ","Animation, Action, Adventure"
2112,"Grindhouse","Kurt Russell, Rose McGowan, Danny Trejo","Robert Rodriguez","191 min ","Action, Horror, Thriller"
2118,"National Treasure: Book of Secrets","Nicolas Cage, Diane Kruger, Justin Bartha","Jon Turteltaub","124 min ","Action, Adventure, Mystery"
2119,"Hitman","Timothy Olyphant, Dougray Scott, Olga Kurylenko","Xavier Gens","100 min ","Action, Crime, Drama"
2143,"The Deal","Penelope Ann Miller, Henry Thomas, Andoni Gracia","Bryan Goeres","89 min ","Action, Thriller"
2164,"Strength and Honour","Michael Madsen, Vinnie Jones, Patrick Bergin","Mark Mahon","95 min ","Action, Drama"
2178,"Son of Rambow","Bill Milner, Will Poulter, Jessica Hynes","Garth Jennings","96 min ","Action, Adventure, Comedy"
2187,"Battle for Terra","Evan Rachel Wood, Luke Wilson, Justin Long","Aristomenis Tsirbas","85 min ","Animation, Action, Adventure"
2228,"Blood Ties","Kely McClung, Robert Pralgo, Erik Markus Schuetz","Kely McClung","93 min ","Action"
2234,"Brothers","Zhiwen Wang, Yi Huang, Rongguang Yu","Sung Kee Chiu","100 min ","Action, Drama"
2251,"Mission: Impossible III","Tom Cruise, Michelle Monaghan, Ving Rhames","J.J. Abrams","126 min ","Action, Adventure, Thriller"
2252,"The Drop","John Savage, Sean Young, Michael Bondies","Kevin Lewis","88 min ","Action, Adventure, Fantasy"
2265,"Greed","Jason London, Darlene Tejeiro, Andrea Bogart","Ron Wolotzky","93 min ","Action, Horror, Thriller"
2270,"Running Scared","Paul Walker, Cameron Bright, Chazz Palminteri","Wayne Kramer","122 min ","Action, Crime, Drama"
2272,"The Guardian","Kevin Costner, Ashton Kutcher, Sela Ward","Andrew Davis","139 min ","Action, Adventure, Drama"
2273,"Poseidon","Richard Dreyfuss, Kurt Russell, Emmy Rossum","Wolfgang Petersen","98 min ","Action, Adventure, Drama"
2275,"Talladega Nights: The Ballad of Ricky Bobby","Will Ferrell, John C. Reilly, Sacha Baron Cohen","Adam McKay","108 min ","Action, Comedy, Sport"
2293,"Ice Age: The Meltdown","Ray Romano, John Leguizamo, Denis Leary","Carlos Saldanha","91 min ","Animation, Action, Adventure"
2301,"Fay Grim","Parker Posey, Jeff Goldblum, Liam Aiken","Hal Hartley","118 min ","Action, Comedy, Thriller"
2308,"16 Blocks","Bruce Willis, Yasiin Bey, David Morse","Richard Donner","105 min ","Action, Crime, Drama"
2333,"The Host","Kang-ho Song, Hie-bong Byeon, Hae-il Park","Joon-ho Bong","120 min ","Action, Drama, Horror"
2417,"Fantastic Four","Ioan Gruffudd, Michael Chiklis, Chris Evans","Tim Story","106 min ","Action, Adventure, Sci-Fi"
2437,"King Kong","Naomi Watts, Jack Black, Adrien Brody","Peter Jackson","187 min ","Action, Adventure, Drama"
2439,"Revolver","Jason Statham, Ray Liotta, Vincent Pastore","Guy Ritchie","111 min ","Action, Crime, Drama"
2454,"Back in the Day","Joe Morton, Ja Rule, Norman Grant","James Hunter","103 min ","Action, Crime, Drama"
2463,"Transporter 2","Jason Statham, Amber Valletta, Kate Nauta","Louis Leterrier","87 min ","Action, Crime, Thriller"
2497,"The Promise","Cecilia Cheung, Dong-gun Jang, Hiroyuki Sanada","Kaige Chen","121 min ","Action, Drama, Fantasy"
2586,"Spider-Man 2","Tobey Maguire, Kirsten Dunst, Alfred Molina","Sam Raimi","127 min ","Action, Adventure, Fantasy"
2616,"Unstoppable","Wesley Snipes, Jacqueline Obradors, Stuart Wilson","David Carson","96 min ","Action, Adventure, Drama"
2669,"Deadlines","Stephen Moyer, Anne Parillaud, Omid Djalili","Ludi Boeken","103 min ","Action, Thriller"
2679,"Night Watch","Konstantin Khabenskiy, Vladimir Menshov, Mariya Poroshina","Timur Bekmambetov","114 min ","Action, Fantasy, Thriller"
2740,"The Hunted","Tommy Lee Jones, Benicio Del Toro, Connie Nielsen","William Friedkin","94 min ","Action, Crime, Drama"
2818,"At Point Blank","Sofia Helin, Mikael Persbrandt, Stefan Sauk","Peter Lindmark","105 min ","Action, Crime, Thriller"
2821,"Elysium","Alexandra Boyd, Lee Cherry, Cam Clarke","Jae-woong Kwon","85 min ","Action, Animation, Fantasy"
2827,"Wild Card","Dong-kun Yang, Jin-yeong Jeong, Chae-young Han","Yoo-jin Kim","117 min ","Action, Crime"
2867,"The Fallen","Daniel Asher, Brian Bancale, C.J. Barkus","Ari Taub","112 min ","Action, Drama, War"
2876,"Men in Black II","Tommy Lee Jones, Will Smith, Rip Torn","Barry Sonnenfeld","88 min ","Action, Adventure, Comedy"
2951,"Derailed","Jean-Claude Van Damme, Tomas Arana, Laura Harring","Bob Misiorowski","89 min ","Action, Thriller"
2966,"The Circuit","Olivier Gruner, Simon Kim, James Kim","Jalal Merhi","91 min ","Action, Drama, Sport"
3016,"Driven","Sylvester Stallone, Kip Pardue, Til Schweiger","Renny Harlin","116 min ","Action, Drama, Sport"
3017,"Planet of the Apes","Mark Wahlberg, Helena Bonham Carter, Tim Roth","Tim Burton","119 min ","Action, Adventure, Sci-Fi"
3100,"Rush Hour 2","Jackie Chan, Chris Tucker, John Lone","Brett Ratner","90 min ","Action, Comedy, Crime"
3204,"The Wrecking Crew","Ice-T, Ernie Hudson Jr., T.J. Storm","Albert Pyun","80 min ","Action, Crime, Drama"
3256,"The Silencer","Michael Dudikoff, Brennan Elliott, Terence Kelly","Robert Lee","92 min ","Action"
3330,"Gigantics","Frank Giering, Florian Lukas, Antoine Monot Jr.","Sebastian Schipper","80 min ","Comedy, Drama, Romance"
3390,"The Avengers","Ralph Fiennes, Uma Thurman, Sean Connery","Jeremiah S. Chechik","89 min ","Action, Adventure, Sci-Fi"
3429,"Rush Hour","Jackie Chan, Chris Tucker, Ken Leung","Brett Ratner","98 min ","Action, Comedy, Crime"
3496,"Gunda","Mithun Chakraborty, Verna Raj, Ishrat Ali","Kanti Shah","129 min ","Action, Comedy, Crime"
3507,"Drive","Mark Dacascos, Kadeem Hardison, John Pyper-Ferguson","Steve Wang","100 min ","Action, Adventure, Sci-Fi"
3631,"Rage","Lazar Ristovski, Nikola Djuricko, Nebojsa Glogovac","Slobodan Skerlic","97 min ","Action"
3632,"Rage","Lazar Ristovski, Nikola Djuricko, Nebojsa Glogovac","Slobodan Skerlic","97 min ","Action"
3651,"Savage","Olivier Gruner, Jennifer Grant, Kario Salem","Avi Nesher","99 min ","Action, Sci-Fi, Thriller"
3667,"Black Mask","Jet Li, Ching Wan Lau, Karen Mok","Daniel Lee","99 min ","Action, Adventure, Comedy"
3682,"Non-Stop","Shin'ichi Tsutsumi, Tomorowo Taguchi, Diamond Yukai","SABU","82 min ","Comedy, Action, Crime"
3740,"The Silencers","Jack Scalia, Dennis Christopher, Carlos Lauchu","Richard Pepin","103 min ","Action, Sci-Fi"
3787,"The Stranger","Kathy Long, Andrew Divoff, Eric Pierpoint","Fritz Kiersch","98 min ","Action"
3828,"Fair Game","William Baldwin, Cindy Crawford, Steven Berkoff","Andrew Sipes","91 min ","Action, Crime, Thriller"
3862,"Rage","Gary Daniels, Kenneth Tigar, Fiona Hutchison","Joseph Merhi","94 min ","Action, Thriller"
3930,"The Chase","Charlie Sheen, Kristy Swanson, Henry Rollins","Adam Rifkin","94 min ","Action, Adventure, Comedy"
3980,"No Escape","Ray Liotta, Lance Henriksen, Stuart Wilson","Martin Campbell","118 min ","Action, Drama, Sci-Fi"
3994,"47 Ronin","Ken Takakura, Kiichi Nakai, Rie Miyazawa","Kon Ichikawa","132 min ","Action, Drama"
4222,"Trespass","Bill Paxton, Ice-T, William Sadler","Walter Hill","101 min ","Action, Thriller"
4334,"Rush","Jason Patric, Jennifer Jason Leigh, Sam Elliott","Lili Fini Zanuck","120 min ","Action, Crime, Drama"
4453,"RoboCop 2","Peter Weller, Belinda Bauer, John Glover","Irvin Kershner","117 min ","Action, Sci-Fi"
4463,"Teenage Mutant Ninja Turtles","Judith Hoag, Elias Koteas, Josh Pais","Steve Barron","93 min ","Action, Adventure, Comedy"
4697,"The Expendables","Anthony Finetti, Peter Nelson, Loren Haynes","Cirio H. Santiago","89 min ","Action, Adventure, War"
4841,"No Safe Haven","Wings Hauser, Robert Tessier, Branscombe Richmond","Ronnie Rondell Jr.","95 min ","Action"
4849,"Predator","Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall","John McTiernan","107 min ","Action, Horror, Sci-Fi"
4853,"RoboCop","Peter Weller, Nancy Allen, Dan O'Herlihy","Paul Verhoeven","102 min ","Action, Crime, Sci-Fi"
4861,"The Squeeze","Michael Keaton, Rae Dawn Chong, Ric Abernathy","Roger Young","101 min ","Action, Comedy, Crime"
4908,"Fair Game","Cassandra Delaney, Peter Ford, David Sandford","Mario Andreacchio","90 min ","Action, Horror, Thriller"
4914,"Aliens","Sigourney Weaver, Michael Biehn, Carrie Henn","James Cameron","137 min ","Action, Horror, Sci-Fi"
4958,"The Longshot","Tim Conway, Jack Weston, Harvey Korman","Paul Bartel","89 min ","Action, Comedy"
4976,"Running Scared","Gregory Hines, Billy Crystal, Steven Bauer","Peter Hyams","107 min ","Action, Comedy, Crime"
5068,"The Protector","Jackie Chan, Danny Aiello, Sandy Alexander","James Glickenhaus","91 min ","Action, Crime, Drama"
5072,"Ran","Tatsuya Nakadai, Akira Terao, Jinpachi Nezu","Akira Kurosawa","162 min ","Action, Drama, War"
5110,"Epic","John Huston, Ross Higgins, Robyn Moore","Yoram Gross","70 min ","Animation, Adventure, Fantasy"
5153,"The Karate Kid","Ralph Macchio, Pat Morita, Elisabeth Shue","John G. Avildsen","126 min ","Action, Drama, Family"
5354,"Outland","Sean Connery, Frances Sternhagen, Peter Boyle","Peter Hyams","112 min ","Action, Crime, Sci-Fi"
5399,"Defiance","Jan-Michael Vincent, Theresa Saldana, Danny Aiello","John Flynn","103 min ","Action, Drama, Crime"
5417,"The Hunter","Steve McQueen, Eli Wallach, Kathryn Harrold","Buzz Kulik","97 min ","Action, Biography, Comedy"
5420,"Contraband","Fabio Testi, Ivana Monti, Marcel Bozzuffi","Lucio Fulci","97 min ","Action, Crime, Drama"
5425,"Running Scared","Ken Wahl, Judge Reinhold, Annie McEnroe","Paul Glickler","96 min ","Action, Adventure, Drama"
5508,"Seven","William Smith, John Alderman, Henry Ayau","Andy Sidaris","100 min ","Action, Drama"
5590,"Superman","Christopher Reeve, Margot Kidder, Gene Hackman","Richard Donner","143 min ","Action, Drama, Sci-Fi"
5623,"Animal","Jean-Paul Belmondo, Raquel Welch, Dany Saval","Claude Zidi","91 min ","Action, Comedy, Romance"
5796,"The Killer Elite","James Caan, Robert Duvall, Arthur Hill","Sam Peckinpah","122 min ","Action, Crime, Thriller"
5825,"Stoner","George Lazenby, Angela Mao, Betty Ting Pei","Feng Huang","107 min ","Action, Thriller"
5832,"The Wrestler","Edward Asner, Elaine Giftos, Verne Gagne","James A. Westman","95 min ","Action, Crime, Drama"
5841,"Bring Me the Head of Alfredo Garcia","Warren Oates, Isela Vega, Robert Webber","Sam Peckinpah","112 min ","Action, Crime, Drama"
5881,"Stone","Ken Shorter, Sandy Harbutt, Deryck Barnes","Sandy Harbutt","103 min ","Action, Drama, Adventure"
5911,"The Green Hornet","Van Williams, Bruce Lee, Charles Bateman","William Beaudine","90 min ","Action, Crime, Sci-Fi"
5939,"The Crazies","Lane Carroll, Will MacMillan, Harold Wayne Jones","George A. Romero","103 min ","Action, Horror, Sci-Fi"
6037,"The Mechanic","Charles Bronson, Jan-Michael Vincent, Keenan Wynn","Michael Winner","100 min ","Action, Crime, Thriller"
6138,"The Family","Charles Bronson, Jill Ireland, Michel Constantin","Sergio Sollima","100 min ","Action, Crime, Thriller"
6243,"Hellbenders","Joseph Cotten, Norma Bengell, Al Mulock","Sergio Corbucci","90 min ","Action, Adventure, Drama"
6307,"The Silencers","Dean Martin, Stella Stevens, Daliah Lavi","Phil Karlson","102 min ","Action, Adventure, Comedy"
6386,"Harakiri","Tatsuya Nakadai, Akira Ishihama, Shima Iwashita","Masaki Kobayashi","133 min ","Action, Drama, History"
6396,"King Kong","Kumkum, Dara Singh, Chandrashekhar","Babubhai Mistri","142 min ","Action, Adventure, Comedy"
6446,"Hannibal","Victor Mature, Gabriele Ferzetti, Rita Gam","Carlo Ludovico Bragaglia","103 min ","Action, Adventure, Biography"
6457,"The Hunters","Robert Mitchum, Robert Wagner, Richard Egan","Dick Powell","108 min ","Action, Drama, Romance"
6544,"The Raid","Van Heflin, Anne Bancroft, Richard Boone","Hugo Fregonese","83 min ","Action, Drama, War"
6570,"Beat the Devil","Humphrey Bogart, Jennifer Jones, Gina Lollobrigida","John Huston","89 min ","Action, Adventure, Comedy"
6582,"Fargo","Bill Elliott, Myron Healey, Phyllis Coates","Lewis D. Collins","69 min ","Action, Western"
6583,"Fargo","Bill Elliott, Myron Healey, Phyllis Coates","Lewis D. Collins","69 min ","Action, Western"
6663,"Alice in Wonderland","Stephen Murray, Ernest Milton, Pamela Brown","Dallas Bower","76 min ","Action, Family, Fantasy"
6676,"Red River","John Wayne, Montgomery Clift, Joanne Dru","Howard Hawks","133 min ","Action, Adventure, Romance"
6681,"The Treasure of the Sierra Madre","Humphrey Bogart, Walter Huston, Tim Holt","John Huston","126 min ","Action, Adventure, Drama"
6799,"Up in the Air","Frankie Darro, Marjorie Reynolds, Mantan Moreland","Howard Bretherton","62 min ","Action, Comedy, Music"
6810,"The Adventures of Robin Hood","Errol Flynn, Olivia de Havilland, Basil Rathbone","Michael Curtiz","102 min ","Action, Adventure, Romance"
6882,"Scarface","Paul Muni, Ann Dvorak, Karen Morley","Howard Hawks","93 min ","Action, Crime, Drama"
